,admission_year,matric_gpa,study_year,current_gpa,monthly_allowance,scholarship,study_hours,classes_missed,failed_modules,gender_Female,gender_Male,faculty_AgriSciences,faculty_Arts & Social Sciences,faculty_Economic & Management Sciences,faculty_Education,faculty_Engineering,faculty_Law,faculty_Medicine and Health Services,faculty_Science,faculty_Unknown,accommodation_Non-private accommodation ie. Res,accommodation_Private accommodation/ stay with family/friends
49,2024,1.4343523448685567,0,-0.7384070263548148,5500.0,0,2.0,2.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1
50,2024,-0.42842457405967993,1,-1.1076241805600873,8500.0,0,7.0,2.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,1
51,2024,-1.1448772351859249,5,-0.1230451026793605,7500.0,0,4.0,4.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1
52,2024,-1.1448772351859249,0,-0.1230451026793605,4500.0,0,4.0,4.0,2.0,1,0,0,0,1,0,0,0,0,0,0,1,0
53,2024,0.8611902159675607,0,0.9846063599364572,4500.0,0,2.0,2.0,0.0,0,1,0,0,0,0,0,0,0,1,0,1,0
54,2024,2.8672576671210463,0,2.83069213096282,4500.0,1,2.0,8.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1
55,2024,-0.8582961707354269,1,1.2307511294066389,4500.0,0,2.0,2.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,1
56,2024,0.8611902159675607,0,1.7230406683470023,6500.0,0,8.0,7.0,2.0,1,0,0,0,0,0,0,0,1,0,0,1,0
57,2024,1.0044807481928097,1,2.728205573035931e-05,4500.0,1,8.0,8.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,1
58,2024,0.8611902159675607,0,1.7230406683470023,4500.0,0,2.0,4.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1
